Date,NSW,QLD,VIC,SA,WA,TAS,ACT,NT,Total,New_Cases,PERCENT_Growth,Deaths_Nationally
25/01/2020,3,0,1,0,0,0,0,0,4,4,,0
01/02/2020,4,2,4,0,0,0,0,0,10,,,0
08/02/2020,4,5,4,0,0,0,0,0,13,,,0
15/02/2020,4,5,4,0,0,0,0,0,13,,,0
22/02/2020,4,7,4,0,1,0,0,0,16,,,0
29/02/2020,5,9,4,3,2,0,0,0,23,,,0
01/03/2020,6,9,9,3,2,0,0,0,29,6,0.26,1
02/03/2020,9,9,9,3,2,1,0,0,33,4,0.14,1
03/03/2020,15,10,10,3,2,1,0,0,41,8,0.24,1
04/03/2020,22,11,10,5,2,1,0,1,52,11,0.27,2
05/03/2020,25,13,10,7,3,1,0,1,60,8,0.15,2
06/03/2020,28,14,10,7,3,1,0,0,63,3,0.05,2
07/03/2020,36,14,11,7,3,2,0,0,73,10,0.16,2
08/03/2020,40,15,12,7,4,2,0,0,80,7,0.10,3
09/03/2020,47,15,15,7,6,2,0,0,92,12,0.15,3
10/03/2020,60,18,19,7,6,2,0,0,112,20,0.22,3
11/03/2020,64,20,22,9,9,3,0,0,127,15,0.13,3
12/03/2020,77,27,27,12,9,3,1,0,156,29,0.23,3
13/03/2020,91,35,36,16,14,5,1,0,198,42,0.27,3
14/03/2020,111,46,49,19,17,5,1,0,248,50,0.25,3
15/03/2020,133,62,57,20,18,7,1,0,298,50,0.20,5
16/03/2020,170,68,71,30,28,7,2,0,376,78,0.26,5
17/03/2020,209,78,94,32,31,7,2,0,453,77,0.21,5
18/03/2020,266,94,121,37,35,10,3,0,566,113,0.25,6
19/03/2020,306,144,150,42,52,10,4,0,708,142,0.25,6
20/03/2020,381,184,178,50,64,10,6,2,875,167,0.24,7
21/03/2020,435,221,229,67,90,16,9,4,1071,196,0.22,7
22/03/2020,532,259,296,100,120,22,19,6,1354,283,0.26,7
23/03/2020,704,319,355,134,140,28,32,6,1718,364,0.27,7
24/03/2020,913,397,411,170,175,36,39,6,2147,430,0.25,8
25/03/2020,1029,443,466,197,205,42,44,6,2432,285,0.13,9
26/03/2020,1219,493,520,235,231,47,53,13,2811,379,0.16,13
27/03/2020,1405,555,574,257,255,58,62,14,3180,369,0.13,13
28/03/2020,1617,625,685,287,278,62,71,15,3640,460,0.15,14
29/03/2020,1791,656,769,299,312,66,77,15,3985,345,0.10,16
30/03/2020,1918,689,821,305,355,69,78,15,4250,265,0.07,18
31/03/2020,2032,743,917,337,364,69,80,19,4561,311,0.07,19
01/04/2020,2182,781,968,367,392,71,84,19,4864,303,0.07,21
02/04/2020,2298,835,1036,385,400,74,87,21,5136,272,0.06,24
03/04/2020,2389,873,1085,396,422,80,91,22,5358,222,0.04,28
04/04/2020,2493,900,1115,407,436,86,93,26,5550,192,0.04,30
